epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.935,0.74879,1.59559,0.9422,0.97811,0.25326,0.65499,0.51673,0.66536,2.78301,0.9044,0.000658228,0.000658228,0.000658228
2,465.218,0.75108,0.84791,0.94402,0.93169,0.94111,0.97636,0.79622,0.66975,0.76859,0.93818,0.00131178,0.00131178,0.00131178
3,640.813,0.78977,0.6506,0.96715,0.94357,0.93767,0.97743,0.79179,0.67126,0.5792,0.93818,0.00195213,0.00195213,0.00195213
4,789.613,0.78377,0.56866,0.96979,0.92767,0.89933,0.94269,0.77755,0.63003,0.94431,0.93689,0.0019406,0.0019406,0.0019406
5,931.802,0.74209,0.51227,0.95855,0.95922,0.94133,0.97946,0.81251,0.61891,0.46114,0.9256,0.0019208,0.0019208,0.0019208
6,1076.25,0.70934,0.47846,0.94852,0.97559,0.97272,0.99146,0.86133,0.55407,0.37225,0.89705,0.001901,0.001901,0.001901
7,1222.16,0.69296,0.45565,0.94195,0.97212,0.97645,0.98392,0.84264,0.5695,0.44697,0.90674,0.0018812,0.0018812,0.0018812
8,1366.66,0.67399,0.43973,0.93921,0.97688,0.97196,0.98786,0.86378,0.53924,0.35517,0.90167,0.0018614,0.0018614,0.0018614
9,1507.93,0.65829,0.43032,0.93264,0.97705,0.97367,0.99204,0.87114,0.50674,0.34385,0.87673,0.0018416,0.0018416,0.0018416
10,1656.15,0.64837,0.42094,0.92774,0.97597,0.97473,0.98889,0.88906,0.49056,0.32995,0.87916,0.0018218,0.0018218,0.0018218
11,1803.78,0.64433,0.41582,0.92896,0.97616,0.97933,0.99141,0.87518,0.49232,0.32218,0.87306,0.001802,0.001802,0.001802
12,1960.16,0.62495,0.40283,0.92312,0.87921,0.78365,0.8552,0.69589,0.72623,0.7897,1.01045,0.0017822,0.0017822,0.0017822
13,2109.18,0.61718,0.39288,0.91903,0.98139,0.98467,0.99169,0.86826,0.51896,0.31673,0.89781,0.0017624,0.0017624,0.0017624
14,2257.32,0.60919,0.38801,0.91664,0.97834,0.97844,0.99092,0.88168,0.48386,0.32364,0.8755,0.0017426,0.0017426,0.0017426
15,2404.26,0.6081,0.38093,0.91567,0.97921,0.984,0.99309,0.89993,0.45477,0.29745,0.87176,0.0017228,0.0017228,0.0017228
